filename,similarity_score,email
Coursera SI1KV6DKR3Y0.pdf,0.47,No Gmail Found
11813872.pdf,0.38,No Gmail Found
More_Dummy_Resumes-5.pdf,0.38,amit.roy.dev@gmail.com
Dummy_Resumes_2 (1)-5.pdf,0.29,aman.gupta.ml@gmail.com
More_Dummy_Resumes-1.pdf,0.29,karan.mehta.dev@gmail.com
AWS1.pdf,0.27,No Gmail Found
Dummy_Resumes-1.pdf,0.27,rohandas.dev@gmail.com
Dummy_Resumes-3.pdf,0.27,adityaroy.tech@gmail.com
Dummy_Resumes_2 (1)-1.pdf,0.26,rahul.sharma.dev@gmail.com
More_Dummy_Resumes-4.pdf,0.24,riya.malhotra.tech@gmail.com
